model,n_qubits,n_qlayers,entanglement,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,train_time_mean,train_time_std
gru,N/A,N/A,N/A,0.8779999999999999,0.010697871023920856,0.8775521409986183,0.011117196310055552,0.8792918054878633,0.008645392771954759,0.8772970085470085,0.011475100049283309,6.5812842600164005,0.7201602228795425
lstm,N/A,N/A,N/A,0.8786666666666667,0.012605113600792693,0.8785054384811252,0.012456434204914197,0.8789343447529469,0.012824375405090889,0.8787393162393162,0.011832295103278132,6.668161039997358,0.9085635278486884
qgru,3.0,1.0,False,0.8606666666666666,0.01706197852275963,0.8605870109478865,0.017049218318451215,0.8625342091441175,0.014852270801969596,0.8619123931623932,0.0160478834249998,188.82556500001812,1.7472893533939715
qgru,3.0,1.0,True,0.8380000000000001,0.035947492572114444,0.8372738597597345,0.036593180301469366,0.8466529783845106,0.02844261528231376,0.8401709401709402,0.033392414049825035,189.50831285999158,5.211329219420691
qgru,3.0,2.0,False,0.8593333333333334,0.033780336160421934,0.8584701387769865,0.03364600742645269,0.8671179308674963,0.03161506325179999,0.8594017094017093,0.03096597772879566,237.71780256000346,10.634331663862703
qgru,3.0,2.0,True,0.8546666666666667,0.03476907949441413,0.8542877583844394,0.03485152328470734,0.8595591396268076,0.03020610110479708,0.8559829059829059,0.03253694105954506,284.14885085998105,9.48131224063956
qgru,4.0,1.0,False,0.8853333333333333,0.01260511360079271,0.8848559308468971,0.012368048282413006,0.8874034901357912,0.013437171756379344,0.8843482905982907,0.011580920613610473,243.81769401994535,6.1417260672959815
qgru,4.0,1.0,True,0.8586666666666666,0.03404245715116473,0.8580690621707797,0.03397534501417709,0.8645499310356705,0.030547040775173454,0.8592414529914529,0.03145365192311008,268.58520325999706,14.784480767472143
qgru,4.0,2.0,False,0.8713333333333333,0.008692269873603536,0.870926132395506,0.00855877822785687,0.8732616890358612,0.010048833008860057,0.8709935897435898,0.008204178714427184,339.2250803399831,13.500355916975522
qgru,4.0,2.0,True,0.8720000000000001,0.019235384061671305,0.8714467226633629,0.019110450616521682,0.8752242528867331,0.019538465322994688,0.8714209401709402,0.01833206941830948,378.6428864600137,24.37485682193625
